id,pair_symbol,token0_symbol,token1_symbol,token0_id,token1_id,token0_pyth_price,token1_pyth_price,trade_path,gas_cost,uniswap_fee,trade_cost,liquidity_rate_token0,variable_borrow_rate_token0,profitable_token0,liquidity_rate_token1,variable_borrow_rate_token1,profitable_token1
0x5764a6f2212d502bc5970f9f129ffcd61e5d7563,SHIB/WETH,SHIB,WETH,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.00002186530000000000222536156169184096142998896539211273193359375,3385.132314360000236774794757366180419921875,WETH -> SHIB,0,0.010000,50.77698471540000355162192136,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x60594a405d53811d3bc4766596efd80fd545a270,DAI/WETH,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99996910999999999436482767123379744589328765869140625,3385.132314360000236774794757366180419921875,DAI -> WETH,0,0.000500,0.005499830104999999969006552192,0,0,True,,,
0x60594a405d53811d3bc4766596efd80fd545a270,DAI/WETH,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99996910999999999436482767123379744589328765869140625,3385.132314360000236774794757366180419921875,WETH -> DAI,0,0.000500,18.61822772898000130226137117,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE/WETH,APE,WETH,0x4d224452801aced8b2f0aebe155379bb5d594381,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.2439622200000000074027184382430277764797210693359375,3385.132314360000236774794757366180419921875,APE -> WETH,0,0.003000,0.009951697760000000059221747506,0,0,True,,,
0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE/WETH,APE,WETH,0x4d224452801aced8b2f0aebe155379bb5d594381,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.2439622200000000074027184382430277764797210693359375,3385.132314360000236774794757366180419921875,WETH -> APE,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,WSTETH/WETH,WSTETH,WETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4021.471802340000067488290369510650634765625,3385.132314360000236774794757366180419921875,WSTETH -> WETH,0,0.000100,20.50950619193400034419028089,0.0000228956181581000013658400149552107905037701129913330078125,0.0033130322673797000208872898241452276124618947505950927734375,True,,,
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,WSTETH/WETH,WSTETH,WETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4021.471802340000067488290369510650634765625,3385.132314360000236774794757366180419921875,WETH -> WSTETH,0,0.000100,17.26417480323600120755145327,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE/WETH,AAVE,WETH,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,341.33299482000001034975866787135601043701171875,3385.132314360000236774794757366180419921875,AAVE -> WETH,0,0.003000,2.730663958560000082798069343,0,0,True,,,
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE/WETH,AAVE,WETH,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,341.33299482000001034975866787135601043701171875,3385.132314360000236774794757366180419921875,WETH -> AAVE,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x7a415b19932c0105c82fdb6b720bb01b0cc2cae3,WETH/WEETH,WETH,WEETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,3385.132314360000236774794757366180419921875,3571.2232282400000258348882198333740234375,WETH -> WEETH,0,0.000500,18.61822772898000130226137117,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True,,,
0x7a415b19932c0105c82fdb6b720bb01b0cc2cae3,WETH/WEETH,WETH,WEETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,3385.132314360000236774794757366180419921875,3571.2232282400000258348882198333740234375,WEETH -> WETH,0,0.000500,19.64172775532000014209188521,,,,0.0015549711114877999389161100651790547999553382396697998046875,0.023779067276514999351721968423589714802801609039306640625,True
0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,ENA/WETH,ENA,WETH,0x57e114b691db790c35207b2e685d4a43181e6061,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.96093886000000006131216423455043695867061614990234375,3385.132314360000236774794757366180419921875,ENA -> WETH,0,0.003000,0.007687510880000000490497313877,0,0,True,,,
0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,ENA/WETH,ENA,WETH,0x57e114b691db790c35207b2e685d4a43181e6061,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.96093886000000006131216423455043695867061614990234375,3385.132314360000236774794757366180419921875,WETH -> ENA,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x6c6bc977e13df9b0de53b251522280bb72383700,DAI/USDC,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.99996910999999999436482767123379744589328765869140625,0.99997984000000006421515763577190227806568145751953125,DAI -> USDC,0,0.000500,0.005499830104999999969006552192,0,0,True,,,
0x6c6bc977e13df9b0de53b251522280bb72383700,DAI/USDC,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.99996910999999999436482767123379744589328765869140625,0.99997984000000006421515763577190227806568145751953125,USDC -> DAI,0,0.000500,0.005499889120000000353183366997,,,,0,0,True
